Time (s),Normalized Current
19.4,0.986677768526228
19.4,0.9883430474604497
19.5,0.9883430474604497
19.5,0.9883430474604497
19.6,0.9900083263946711
19.6,0.9900083263946711
19.7,0.9900083263946711
19.7,0.9916736053288925
19.8,0.9916736053288925
19.8,0.9916736053288925
19.9,0.9916736053288925
19.9,0.9933388842631141
20.0,0.9933388842631141
20.0,0.9933388842631141
20.1,0.9950041631973355
20.1,0.9950041631973355
20.2,0.9950041631973355
20.3,0.996669442131557
20.3,0.996669442131557
20.4,0.996669442131557
20.4,0.996669442131557
20.5,0.9983347210657784
20.5,0.9983347210657784
20.6,0.9983347210657784
20.6,0.9983347210657784
20.7,1.0
20.7,1.0
20.8,1.0
20.8,0.46044962531223976
20.9,0.2589508742714404
20.9,0.1790174854288093
21.0,0.13905079100749376
21.1,0.09825145711906744
21.1,0.09025811823480433
21.2,0.07060782681099083
21.2,0.06361365528726061
21.3,0.05362198168193172
21.3,0.05095753538717736
21.4,0.042964196502914234
21.5,0.04113238967527061
21.6,0.035303913405495414
21.6,0.031806827643630305
21.7,0.028809325562031644
21.8,0.025478767693588672
21.8,0.024646128226477933
21.9,0.021981681931723562
22.0,0.020149875104079937
22.0,0.0186511240632806
22.1,0.016985845129059114
22.2,0.01565362198168193
22.3,0.013655287260616154
22.3,0.01315570358034971
22.3,0.012489592006661117
22.4,0.011823480432972523
22.4,0.010990840965861781
22.5,0.010491257285595338
22.5,0.009658617818484594
22.6,0.008326394671107408
22.6,0.008159866777685263
22.7,0.007993338884263113
22.7,0.007660283097418815
22.8,0.006994171523730227
22.8,0.006827643630308077
22.9,0.006494587843463778
22.9,0.006161532056619483
23.0,0.005828476269775184
23.0,0.005495420482930891
23.1,0.0053288925895087404
23.2,0.004995836802664447
23.2,0.004662781015820148
23.3,0.0043297252289758534
23.3,0.003996669442131554
23.4,0.0036636136552872602
23.4,0.0034970857618651105
23.5,0.0031640299750208167
23.5,0.002997502081598667
23.6,0.0026644462947543733
23.6,0.0024979184013322235
23.7,0.002164862614487924
23.7,0.0018318068276436301
23.8,0.0016652789342214804
23.8,0.0013322231473771866
23.9,0.0013322231473771866
23.9,0.0009991673605328872
24.0,0.0009991673605328872
24.0,0.0006661115736885933
24.1,0.0004995836802664436
24.1,0.0003330557868442939
24.2,0.0001665278934221497
24.3,0.0
24.3,0.0
24.4,-0.0003330557868442994
24.4,-0.0003330557868442994
24.5,-0.0004995836802664436
24.5,-0.0004995836802664436
24.6,-0.0006661115736885933
24.6,-0.000832639467110743
24.7,-0.0009991673605328872
24.7,-0.0009991673605328872
24.8,-0.001165695253955037
24.8,-0.0013322231473771866
24.9,-0.0013322231473771866
24.9,-0.0014987510407993363
25.0,-0.0014987510407993363
25.0,-0.0016652789342214804
